City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Toktogul,KG,41.8708,72.9402,69.62,39,0,0.89,clear sky
250,Belyy Yar,RU,53.6039,91.3903,44.85,79,0,0.0,clear sky
251,Bereda,ES,43.2686,-7.5406,56.14,89,0,3.85,clear sky
252,Dorado,PR,18.4588,-66.2677,89.73,74,75,17.27,broken clouds
253,Asfi,MA,32.2994,-9.2372,71.98,79,0,19.06,clear sky
254,Goundam,ML,16.4145,-3.6708,90.45,46,56,4.14,broken clouds
255,Bara,NG,10.3744,10.7288,70.39,96,100,8.01,overcast clouds
256,Neon Karlovasion,GR,37.7903,26.7044,91.17,56,0,11.18,clear sky
257,Dolores,AR,-36.3132,-57.6792,46.11,62,49,10.13,scattered clouds
258,Camopi,GF,3.1655,-52.3158,79.61,77,80,3.13,broken clouds
259,Petropavlovka,RU,50.6114,105.3196,43.39,90,40,1.16,scattered clouds
260,Antofagasta,CL,-23.65,-70.4,58.28,67,37,7.7,scattered clouds
261,Lagoa,PT,39.05,-27.9833,70.77,66,100,5.48,overcast clouds
262,Nha Trang,VN,12.25,109.1833,80.6,85,96,5.12,overcast clouds
263,Nicoya,CR,10.1483,-85.452,86.85,67,90,9.51,overcast clouds
264,Auki,SB,-8.7676,160.7034,78.3,78,69,3.51,broken clouds
265,Port-Gentil,GA,-0.7193,8.7815,76.96,78,100,10.36,overcast clouds
266,Quatre Cocos,MU,-20.2078,57.7625,70.09,77,0,12.01,clear sky
267,Porto Novo,BJ,6.4965,2.6036,76.82,86,100,7.92,overcast clouds
268,Inhumas,BR,-16.3578,-49.4961,91.13,25,0,3.27,clear sky
269,Horasan,TR,40.0458,42.1728,64.0,60,0,3.47,clear sky
270,Maneadero,MX,31.7167,-116.5667,79.11,74,78,4.0,broken clouds
271,The Valley,AI,18.217,-63.0578,87.66,70,20,14.97,few clouds
272,Maniitsoq,GL,65.4167,-52.9,42.71,80,11,13.44,few clouds
273,Pauini,BR,-7.7136,-66.9764,89.64,49,84,1.81,broken clouds
274,Kamloops,CA,50.6665,-120.3192,90.75,27,40,6.91,scattered clouds
275,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,94,100,10.36,mist
276,Lubango,AO,-14.9172,13.4925,62.31,28,0,5.91,clear sky
277,Cabo San Lucas,MX,22.8909,-109.9124,86.5,71,93,9.64,overcast clouds
278,Thompson,CA,55.7435,-97.8558,73.56,60,75,13.8,broken clouds
279,Paita,PE,-5.0892,-81.1144,67.17,76,11,18.01,few clouds
280,Wana,PK,32.2989,69.5725,71.4,80,14,3.8,few clouds
281,Yar-Sale,RU,66.8333,70.8333,48.83,79,100,8.55,overcast clouds
282,Cedar City,US,37.6775,-113.0619,63.57,72,100,16.11,moderate rain
283,Geraldton,AU,-28.7667,114.6,43.21,87,99,0.0,overcast clouds
284,Bensonville,LR,6.4461,-10.6125,76.55,86,90,5.19,overcast clouds
285,Norman Wells,CA,65.282,-126.8329,80.64,22,40,12.66,scattered clouds
