City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Flinders,AU,2022-08-18 15:52:25,-34.5833,150.8552,63.37,73,98,1.99
214,Le Port,RE,2022-08-18 15:52:26,-20.9373,55.2919,71.62,70,12,7.29
215,Chaumont,FR,2022-08-18 15:52:27,48.1167,5.1333,76.37,61,99,1.68
216,Show Low,US,2022-08-18 15:50:44,34.2542,-110.0298,72.09,67,0,3.44
217,Grootfontein,NA,2022-08-18 15:52:27,-19.5667,18.1167,79.63,8,93,12.8
218,Ugep,NG,2022-08-18 15:52:27,5.8086,8.0812,77.85,86,100,1.99
219,Bograd,RU,2022-08-18 15:52:28,54.2344,90.8328,50.49,57,52,2.91
220,Yerbogachen,RU,2022-08-18 15:52:28,61.2767,108.0108,48.69,98,100,4.81
221,Aasiaat,GL,2022-08-18 15:52:28,68.7098,-52.8699,36.79,90,98,2.55
222,Souillac,MU,2022-08-18 15:52:29,-20.5167,57.5167,70.18,83,40,6.91
223,Boguchany,RU,2022-08-18 15:52:29,58.3814,97.4531,50.74,98,100,4.12
224,Bumba,CD,2022-08-18 15:53:30,2.1833,22.4667,73.24,91,80,6.11
225,Shiyan,CN,2022-08-18 15:53:30,32.6475,110.7781,89.13,55,100,2.21
226,Constitucion,CL,2022-08-18 15:53:31,-35.3333,-72.4167,53.56,52,0,14.41
227,Komsomolskiy,UZ,2022-08-18 15:53:32,40.4272,71.7189,83.12,18,0,4.61
228,Chandvad,IN,2022-08-18 15:53:32,20.3333,74.25,70.43,89,49,11.14
229,Lamar,US,2022-08-18 15:53:32,33.6668,-95.5836,76.98,83,100,11.5
230,Half Moon Bay,US,2022-08-18 15:53:33,37.4636,-122.4286,69.48,91,75,5.75
231,Jalu,LY,2022-08-18 15:53:33,29.0331,21.5482,98.96,15,0,12.97
232,Belaya Gora,RU,2022-08-18 15:53:33,68.5333,146.4167,49.78,88,55,6.58
233,Zhaodong,CN,2022-08-18 15:53:34,46.0833,125.9833,67.64,97,100,1.99
234,Boddam,GB,2022-08-18 15:53:34,57.4667,-1.7833,67.64,85,62,18.41
235,Hovd,MN,2022-08-18 15:53:35,48.0056,91.6419,59.11,18,88,7.54
236,Houston,US,2022-08-18 15:48:38,29.7633,-95.3633,91.4,71,40,6.91
237,Det Udom,TH,2022-08-18 15:53:35,14.906,105.0784,78.62,89,87,5.95
238,Avera,US,2022-08-18 15:53:35,33.194,-82.5271,80.55,60,94,4.41
239,Tonota,BW,2022-08-18 15:53:36,-21.4833,27.4833,78.85,13,11,10.49
240,Peruibe,BR,2022-08-18 15:50:47,-24.32,-46.9983,82.99,44,100,12.41
241,Nemuro,JP,2022-08-18 15:53:36,43.3236,145.575,61.97,94,100,26.19
242,Kautokeino,NO,2022-08-18 15:53:36,69.0125,23.0412,54.14,60,52,14.12
243,Padang,ID,2022-08-18 15:53:37,-0.9492,100.3543,77.99,87,35,4.16
244,Stoina,RO,2022-08-18 15:53:37,44.6833,23.6333,99.18,22,5,11.1
245,Gafanha Da Encarnacao,PT,2022-08-18 15:53:37,40.6181,-8.733,73.78,59,4,18.52
246,Takoradi,GH,2022-08-18 15:53:38,4.8845,-1.7554,79.68,67,74,15.17
247,Kupang,ID,2022-08-18 15:53:38,-10.1667,123.5833,72.81,67,48,9.44
248,Nantucket,US,2022-08-18 15:53:38,41.2835,-70.0995,77.11,57,4,18.05
249,Heubach,DE,2022-08-18 15:53:38,48.7927,9.9337,79.57,74,100,2.21
250,Punta Alta,AR,2022-08-18 15:52:19,-38.8759,-62.0736,49.91,39,0,13.56
251,Misratah,LY,2022-08-18 15:53:39,32.3754,15.0925,90.61,49,0,16.6
252,Awbari,LY,2022-08-18 15:53:39,26.5921,12.7805,101.77,11,0,15.97
253,Karratha,AU,2022-08-18 15:53:40,-20.7377,116.8463,72.73,32,17,9.48
254,Onguday,RU,2022-08-18 15:53:40,50.75,86.15,45.18,94,100,4.07
255,Mahebourg,MU,2022-08-18 15:53:40,-20.4081,57.7,71.26,83,40,6.91
256,Baykit,RU,2022-08-18 15:53:40,61.67,96.37,50.9,89,100,4.07
257,Itaituba,BR,2022-08-18 15:53:41,-4.2761,-55.9836,93.36,52,0,9.22
